output_id,standard_code,sequence,activity_name,duration_text
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,1,Needs Assessment,2 months
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,2,Concept development,1 month
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,3,Approval,1 month
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,4,Programme/courses Development/Review,4 months
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,5,Approval by Academic Board,1 month
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,6,Verification and Validation by QAD,1 month
MUBS/P1/OBJ1/TLSS/SR/S001-O1,MUBS/P1/OBJ1/TLSS/SR/S001,7,Submission to Mak/NCHE,2 months
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,1,Approved intake figures,Before Advert
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,2,Advertisement Preparation and Approval,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,3,Receipt of Applications,as advertised
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,4,Verification of Applications,3 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,5,"Pre-entry Tests/Interviews, where applicable",as scheduled
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,6,Admissions Board Recommendation and Academic Board/Senate Approval,4 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,7,Release of Admission Lists,3 working days
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,8,Issuance of Admission Letters,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O2,MUBS/P1/OBJ1/TLSS /SR/S002,9,Change of programme,Apply within 2 weeks of reporting
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,1,Collection of Course Offerings and staff Availability,2 weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,2,Data Entry and Clash-Free Scheduling,1 Week
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,3,Consultation with Deans/HODs,1 week
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,4,Preparation for Teaching Timetable Meetings,2 Weeks
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,5,Final Approval and Publication of Timetables,1 Week
MUBS/P1/OBJ1/TLSS /SR/S002-O3,MUBS/P1/OBJ1/TLSS /SR/S002,6,Teaching Timetable Published,2 weeks before semester
